"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Respondent Id"
"249","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-6 PRIA","B. BL6. P","5","SUDAH BAGUS DAN NYAMAN","5","5","5","2ac439d1-b47e-4fd7-9d3f-3da094759674"
"250","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Tetap jaga kualitas kebersihan toiletnya ya","4","5","5","103c4b94-7dfe-4058-9ba0-481813500354"
"251","API dan IAS","DPS","2","TOILET KEBERANGKATAN DOMESTIK LOBBY DEKAT POSKO (PRIA)","DPS-TOILET-DD03-P","5",,"4","4","4","87f4ea48-bb15-4e9e-8624-8a778cdb6743"
"252","API dan IAS","CGK T1","1","TOILET T1A - CORRIDOR ARRIVAL PRIA","A.CCA.P","3","Toilet bau, seharusnya ada pewangi atau pengharum ruangan","4","5","4","3d34c2aa-5e4b-4489-ad14-2a3f80a134af"
"253","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN WANITA","A. HCI. W","4",,"5","5","5","d1dfafca-4cab-4c2e-a288-ca166f1d89a7"
"254","API dan IAS","YIA","4","TOILET BAGGAGE CLAIM DOMESTIK WANITA","YIA-TOI-BCA-DOM-W","5","Tetap menjaga kebersihan","5","5","5","b50ef70c-61d5-4a11-a424-32beee3ed6ff"
"255","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN PRIA","A. HCI. P","5","Wc sangat bersih","5","5","5","22b51565-3a5b-4e7d-bbf4-003c1adf0266"
"256","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Semua bgs","5","5","5","3609a7b2-6bc8-454f-b128-96a86c640f05"
"257","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","4","Toilet bersih dan wangi","4","4","4","a3fc4421-917e-497e-9317-4d249f8702bc"
"258","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","bagusss","5","5","5","1a74b8d4-3d8a-4916-80a4-a3715954419c"
"259","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5",,"5","5","5","42c2a243-35ee-49ae-9e00-e453d9321819"
"260","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","4",,"4","4","4","34eb18e1-f9cd-4fce-8450-d436354ede96"
"261","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-2 WANITA","A.BL2.W","5","Saya merasa puas atas pelayanannya, tapi salah satu scuritinya agak kasar","5","5","5","1540aade-2016-4522-b681-baee4cb8ed70"
"262","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-6 PRIA","API&IAS-TOILET-CGK T2-BL D6 TP","5","Petugas cewek cowok informatif , helpful minggu 16.11.25 jam 13:05 gate d6","5","5","5","4d38c1bc-2c86-4c0d-b105-e8c9c63c659d"
"263","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Toilet nya bersih petugas nya Ramah","5","5","5","6fa1e46a-0510-4d77-be8e-4405d04ea2b0"
"264","API dan IAS","CGK T1","1","TOILET T1A - CHECKIN WANITA","A. HCI. W","4","Sangat baik pelayananannya saran utk lansia mhn toilet khusus krn tdh sempat antri sdh duluan keluar hajatnya tks","5","5","4","7b7eea50-f291-4bce-bc67-2fe402826824"
"265","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Very clean","5","5","5","fbc07213-53f1-46d5-9c14-4431522ac21e"
"266","API dan IAS","SUB","4","T1,LOBBY 2 DANTE,PRIA","SUB-TOILE-T1-LOBBY 2 DANTE,PRIA","5","Tolong supaya semua toilet di bandara Juanda dilengkapi dengan speaker agar pengguna toilet dapat mendengar dan mengetahui setiap informasi penerbangan. Untuk speaker saat ini berada diluar toilet, jadi kurang maksimal untuk pengguna toilet.","5","5","5","849a6883-3082-49c8-8781-6b8f7be09925"
"267","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Toilet nya bersih dan wangi, petugasnya juga ramah mau membatu ketika saya minta tolong","5","5","5","1f53b35c-c9c6-4638-8d37-f9cec9c96bd9"
"268","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-7 PRIA","API&IAS-TOILET-CGK T2-BL E7 TP","5",,"5","5","5","c8e5e6b6-040d-4244-9ba4-b5279ca21219"
"269","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","baik bersih wangi","5","5","5","03fd8155-c1b4-432e-a312-48d9dcfa162c"
"270","API dan IAS","CGK T1","1","TOILET T1A - CURBSIDE WANITA","A. PCI. W","4","Perlu perbaikan utk semprotan closet duduk , semprotan air nya kecil","4","2","4","f29d4b84-4275-45ee-93d9-399d757b6523"
"271","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Toilet bersih petugas ramah sekali","5","5","5","a56ef211-db0d-42c3-93dd-a6e6e400e6fc"
"272","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Bagus dan bersih","5","5","5","64e566d7-603c-4440-8fa2-176da8f7c856"
"273","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Petugas kebersihan kurang ramah, biasakan minimal di lihat orang itu senyum","5","5","5","4432a39d-582e-4242-95df-1b238b9d54c3"
"274","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Mantap sekali","5","5","5","508e644c-bbac-4dcc-8cd2-0dc25e25fe6c"
"275","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5",,"5","5","5","c525193a-1204-4a30-a04d-eca3d9d333fc"
"276","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","5","tiada","5","5","5","4bd2e48e-5269-4247-98eb-92f76371f626"
"277","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-4 PRIA","API&IAS-TOILET-CGK T2-BL E4 TP","4","Tempat sholatnya lebih dibesarkan🙏","4","4","4","566e5510-4595-446c-8b79-9932428e3dfa"
"278","API dan IAS","KNO","3","TOILET,P1 PRIA","KNO-TP-P01","5","Toilet P1 pria the best, petugas nya ramah' Dan sopan santun","5","5","5","5a52732b-ffc3-48f6-a8a7-214334c884db"
"279","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-3 PRIA","API&IAS-TOILET-CGK T2-BL D3 TP","5","Oke","5","5","5","478854d5-ca32-4444-840b-a6b2867df416"
"280","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5",,"5","5","5","9dedc40f-e77e-41a4-8f71-dd20a0f6f847"
"281","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Bagus","5","5","5","e6681a6d-6851-4e3e-b225-5ee24df9da88"
"282","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-7 PRIA","API&IAS-TOILET-CGK T2-BL E7 TP","5","Pastikan kedua dispenser sabun ada isinya. Sisanya memuaskan","5","5","5","d91ed6b5-07fb-4ee9-b190-95a16c19e854"
"283","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-4 PRIA","API&IAS-TOILET-CGK T2-BL E4 TP","5","Sangat baik","5","5","5","956a3a90-90fe-44dd-bba2-75175d1535aa"
"284","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","The toilet very clean","5","5","5","bf74cc99-5f4e-4b9b-9e4c-9631054c6b4f"
"285","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Sangat puas pelayan sangat ramah","5","5","5","54729743-ddac-4712-af64-3c29ec42cf2e"
"286","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Pelayanan sangat bagus","5","5","5","0f08d40e-41e6-474a-bc81-e8b5f27ed6a3"
"287","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Petugasnya ramah","5","5","5","82d585cf-8ab8-4d55-be88-d471b4bcdb4d"
"288","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-4 WANITA","A.BL4.W","5","Pertahankan kinerja","5","5","5","b6164e52-e925-450e-ba64-620a3cb2f3e3"
"289","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Petugasnya ramah toiletnya bersih semoga tetap konsisten","5","5","5","52f75fd4-dcc2-428c-bf25-5e28f7256d14"
"290","API dan IAS","KNO","3","TOILET,P6 WANITA","KNO-TW-P06","5","Toilet nya sangat bersih dan wangi","5","5","5","e6bfb693-1abb-45eb-a59c-bf3f7b55142a"
"291","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Toiletnya bersih wangi dan petugasnya sangat ramah dan pelayanannya juga bagus","5","5","5","9145dfb4-83da-4bdd-8223-059cfe01959e"
"292","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Fasilitas lengkap","5","5","5","9ec75f04-7b23-4b79-ad10-08edbcaac220"
"293","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Baik bersih","5","5","5","bf2d8efc-e6b2-4c0a-8417-6a53073d71b2"
"294","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","petugas nya harum, toilet nya bersih dan harum dan pelayanan nya sangat baik","5","5","5","60413728-f6fb-47f9-a5b7-ae5a45a77f59"
"295","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Toilet nya bersih, dn berfungsi dgn baik","5","5","5","40636815-5800-4ad6-bd5a-f6917eb0f058"
"296","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Pelayanan baik","5","5","5","55056eb3-20f0-4959-9612-a24eea599b78"
"297","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Pelayanan baik","5","5","5","827dbaa2-628b-4fd2-bbd0-68e8cfa41366"
"298","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5",,"5","5","5","8b4f7bef-a708-4867-87ac-7ecc4686cdfe"
"299","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","5","Toiletnya bersih, harum petugasnya ramah dan pelayanannya sangat baik","5","5","5","cfa42333-742e-4642-943b-37566d8f0d84"
"300","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Fasilitas toilet baik berfungsi bersih dan nyaman","5","5","5","d0b3da9d-45fe-442e-bf36-cbd95f3d41ac"
"301","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Bersih","5","5","5","b9770734-1d17-42dd-ab7a-1cbe644d8dee"
"302","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5","Pelayanan sangat baik","5","5","5","db8a1d5e-3b2d-472e-894b-cf05ea21ed45"
"303","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Wangi dan bersi petugas Rama tama","5","5","5","60bc669b-b769-4fe4-9039-3c686779b0b8"
"304","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Pelayanan sangat baik","5","5","5","d75499ee-75e3-41db-aa24-0786de47612b"
"305","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Pasilitas toilet nya lebih baik lagi","5","5","5","57b36b47-b4ee-4b47-bd3f-83e49b004cb0"
"306","API dan IAS","KNO","3","TOILET,A4 WANITA","KNO-TW-A04","5",,"5","5","5","3d64efe5-7cd5-4480-9a3c-c00b919ca85b"
"307","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Petugas nya ramah 😀😀","5","5","5","c0611eab-701e-4aa8-a3b8-d4a8edb91186"
"308","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","Pelayanan nya sangat bagus","5","5","5","89b598f8-7117-4fa4-ac14-32c257ef18f2"
"309","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Toilet bersih dan petugas ramah","5","5","5","0b1cedcf-5bc1-4e65-9702-056960fc11de"
"310","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07","5",,"5","5","5","fe06102a-1e62-413b-8bd7-9ea855aa5c8e"
"311","API dan IAS","KNO","3","TOILET,A4 PRIA","KNO-TP-A04","5","Sangat memuaskan","5","5","5","a9525b66-41e9-4ff6-b96b-2655bbc40a44"
"312","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Layanan sangat baik","5","5","5","b20e0df3-8c5a-4dde-b88f-73cc9e5f663e"
"313","API dan IAS","KNO","3","TOILET,A8 WANITA","KNO-TW-A08","5",,"5","5","5","b165549f-4481-4593-9cdf-7e548b44190b"
"314","API dan IAS","KNO","3","TOILET,A4 PRIA","KNO-TP-A04","5","Sangat puas dengan pelayanannya","5","5","5","561dbbc6-e0a4-4e60-881f-ff1bf0d1cc30"
"315","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5",,"5","5","5","dcd51d8b-88de-45e0-8ef4-170ec32d6203"
"316","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03","5","Pelayanan yang sangat ramah","5","5","5","8f88e0a9-7357-4ffc-ab78-ccf589e6a306"
"317","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07","5","Toilet bersih dan petugas ramah","5","5","5","78add1ca-7357-4877-b20b-6c247be5e42b"
"318","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","4","Sangat puas dengan fasilitasnya","4","4","4","368bd13b-0495-4d4c-b0a2-08c0b71b53c2"
"319","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Saya sangat kagum kualitas di bandara Kualanamu","5","5","5","6fd5537c-37fa-4e55-ab31-239d37d2e015"
"320","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5",,"5","5","5","48b64756-81c0-49f5-86ec-25ed16ad14f4"
"321","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03","5","Bersih wangi dan petugas ramah","5","5","5","77de7622-ed2b-40e0-8ca4-75dcaffc1bda"
"322","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5","pelayanan sangat memuaskan","5","5","5","af2e8a86-a5ca-41ea-b5d4-cf7bd6a35890"
"323","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Baik dan berfungsi","5","5","5","fe96e66f-c7eb-4a83-b99b-e946276b41b8"
"324","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Bagus","5","5","5","9a924d36-859b-47ce-b025-fc92ea557083"
"325","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","5",,"5","5","5","f7552370-46da-4a03-bcb2-1ac998f2083d"
"326","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07","5","Luar biasa","5","5","5","1c972d44-ec1f-4c9e-9133-ed80f9d06c7e"
"327","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Bagus sekali","5","5","5","047a064c-14c3-46c3-9bc2-8217b35543c0"
"328","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03","5","Bersih fasilitas berfungsi petugas ramah","5","5","5","5ee89cc7-0a72-4552-91e6-e4ab7dde4ad9"
"329","API dan IAS","KNO","3","TOILET,A4 PRIA","KNO-TP-A04","5","Toilet panas","5","5","5","f1037d7c-33cb-4596-9120-f2d567deedb4"
"330","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","5","Fasilitas lengkap,baik dan berfungsi","5","5","5","ded44edb-6cae-44c8-994d-216ab233edb7"
"331","API dan IAS","KNO","3","TOILET,A8 WANITA","KNO-TW-A08","5","Toilet bersih dan petugas ramah","5","5","5","7c847269-be7c-46b8-8ead-7ace62222185"
"332","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Sangat memuaskan dan bersih","5","5","5","6064545d-7c57-4ba9-84be-c850cf4eafc3"
"333","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5","Toilet nya bersih,harum,semua fasilitas tersedia,dan petugasnya ramah","5","5","5","3f948bac-a4df-4947-9267-5be3078cbdcd"
"334","API dan IAS","KNO","3","TOILET,A4 WANITA","KNO-TW-A04","5","toilet bersih","5","5","5","a075d2e7-2d44-4882-b73d-bae970309811"
"335","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Baik","5","5","5","aa047318-8892-4fb3-abfd-aff5faf073b7"
"336","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","Sudah baik dan bersih","5","5","5","ffebffc5-c5ae-49b3-a686-e61ef8a647ab"
"337","API dan IAS","CGK T2","1","TOILET T2E - BOARDING ROOM T2E-7 PRIA","API&IAS-TOILET-CGK T2-BL E7 TP","2","Tidak friendly untuk orang yang sudah berumur dikarenakan toiletnya dibawah, jadi harus lewat tangga yang cukup banyak hanya untuk ke toilet saja","5","5","5","7e8657a3-651a-4a9a-b878-c1084f99b9ed"
"338","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Great","5","5","5","29ff9250-fc19-4741-b2c7-981d17819673"
"339","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5","Petugasnya ramah dan toiletnya juga bersih","5","5","5","2ed1ac58-2943-4b90-ab7f-634443ba26c7"
"340","API dan IAS","KNO","3","TOILET,A7 WANITA","KNO-TW-A07","5","petugas sangat tanggap dan ramah,toilet bersih","5","5","5","e6595581-c4d8-4e54-bfb2-68cfd3ce85b1"
"341","API dan IAS","KNO","3","TOILET,A5 WANITA","KNO-TW-A05","3","Bauk","3","4","1","eab7c9ce-8684-4fef-87a2-776db7d0a868"
"342","API dan IAS","KNO","3","TOILET,A6 PRIA","KNO-TP-A06","5","bersihhh","5","5","5","e77be879-75ce-447d-84c1-ed66c3dd3d7c"
"343","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Saya sangat kagum dengan pelayanan dan Griting karyawan bandara Kualanamu","5","5","5","81035345-4615-4419-8d24-dab50c0e80b7"
"344","API dan IAS","KNO","3","TOILET,A3 WANITA","KNO-TW-A03","5","Sudah baik","5","5","5","bce4ab26-b7aa-4e1d-b5cd-c6dc1da16926"
"345","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Tidak ada","5","5","5","9378f171-f3b7-42d4-ad5b-ca510acd9c52"
"346","API dan IAS","KNO","3","TOILET,P4 WANITA","KNO-TW-P04","5","Over all oke","5","5","5","4810afda-83c7-4d6c-a034-edcba4451e7d"
"347","API dan IAS","CGK T2","1","TOILET T2E - ARRIVAL CORRIDOR WANITA","API&IAS-TOILET-CGK T2-CCA E TW","5","Sangat baik","5","5","5","180058bb-7745-425f-8607-dd3f7fa59c9b"
"348","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Sengat baik","4","4","4","59d31f28-5d6f-4e81-a856-eb89864d532d"
"349","API dan IAS","CGK T1","1","TOILET T1A - BOARDING ROOM T1A-5 PRIA","A.BL5.P","4","airnya kecil, tolong diperbaiki","4","4","4","85679cc9-ce24-4de2-bcf5-f08ba7a6a940"
"350","API dan IAS","KNO","3","TOILET,P5 WANITA","KNO-TW-P05","5","Kerenn","5","5","5","ac60935e-a5de-466d-ab15-71d85d90145c"
"351","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06","5",,"5","5","5","19462a53-83b1-4a3f-b556-7f7772fae301"
"352","API dan IAS","KNO","3","TOILET,A8 PRIA","KNO-TP-A08","5",,"5","5","5","68e5aa5f-d796-42c4-8e4f-b3587ad6f0c0"
"353","API dan IAS","KNO","3","TOILET,A7 PRIA","KNO-TP-A07","5","TerimaKasih Banyak. Tetap selalu di jaga ya Toiletnya. Terima Kasih","5","5","5","97c7e28c-d693-404c-b5c1-0814732dc1a2"
"354","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Pelayanan sangat memuaskan","5","5","5","3dcaac3a-c426-4e03-a6de-6ff68e4df56b"
"355","API dan IAS","CGK T2","1","TOILET T2E - ARRIVAL CORRIDOR WANITA","API&IAS-TOILET-CGK T2-CCA E TW","5","Sudah sempurna, pelu tambah fasilitas lagi supaya tidak menumpuk pengguna","5","5","5","a0a98c6e-6d31-41ae-b7c1-35432d7a9f77"
"356","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","pelayanan sangat memuaskan","5","5","5","459395f2-6c99-46d7-99d1-c7f1ea90b684"
"357","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","5","Sangat puas dengan pasilitas dan keramahan petugas toiletnya","5","5","5","5207c6d4-5bac-4f38-b297-49e1d9e67515"
"358","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5","Toiletnya bersih dan petugasnya ramah","5","5","5","7ef47002-61eb-4a37-92fb-b9c3eca8e0d6"
"359","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Sangat bersih","5","5","5","c0f36ade-7182-40de-8a94-d6a8bd6ffa6d"
"360","API dan IAS","KNO","3","TOILET,D4 WANITA","KNO-TW-D04","5","Baik dan sopan","5","5","5","57e1c4a0-3cd9-4401-a625-9802e924e11e"
"361","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5",,"5","5","5","08ab7cda-3569-43d1-8b3d-8337d1e49598"
"362","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5",,"5","5","5","8a68160f-d078-4d03-90ee-bfc9a7d42db6"
"363","API dan IAS","KNO","3","TOILET,D4 WANITA","KNO-TW-D04","5",,"5","5","5","a500cc4b-75c0-4a6f-86ce-a37b9ceb8c2e"
"364","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","5","Toilet bersih,petugas ramah,","5","5","5","acfd84b4-315c-41c0-a280-b0298dde15a4"
"365","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Toilet nya bersih wangi dan petugas nya ramah","5","5","5","10d09d76-24bd-4a71-867e-cff3ce44ecbd"
"366","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5","toiletnya bersih dan wangi","5","5","5","2cd5c52e-910f-497b-b9de-73a998dd4b22"
"367","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","5",,"5","5","5","90122631-6690-4073-a10d-06b1fbd854a7"
"368","API dan IAS","KNO","3","TOILET,D4 WANITA","KNO-TW-D04","5","Luar biasa","5","5","5","9d15c3b6-4c20-4132-9927-5c80d8912c27"
"369","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Sangat puas","5","5","5","976293e2-b04e-4f8c-b1b6-7432236a1a0f"
"370","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Pelayanannya sangat memuaskan, dan ramah tama","5","5","5","500e2c7f-74ff-4485-b91b-f0489a07bbfa"
"371","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5","Pelayanan nya sangat bagus","5","5","5","85ca1b76-cabd-45e0-86f2-4038f652c2ae"
"372","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5","Pelayanan sangat memuaskan","5","5","5","53782f50-1459-4178-b10f-407eb214c952"
"373","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5","Petugas ramah","5","5","5","c8b4098a-b212-4380-94a6-7e7b94442b66"
"374","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Untuk pelayanan saya sangat puas. Bagus","5","5","5","f35d76d1-7811-4c4c-8031-df030d25fb62"
"375","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","5","Luar biasa","5","5","5","f1c2c689-5ea9-42b9-b9ed-af032137360f"
"376","API dan IAS","KNO","3","TOILET,P3 WANITA","KNO-TW-P03","5","fasilitasnya baik dan berfungsi","5","5","5","f12cb1f6-b28a-4c35-8bfa-cb9673f1134b"
"377","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Baik bersih dan ramah","5","5","5","d572c2c7-2c76-4ea3-a317-4387099383b9"
"378","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Baik bersih dan ramah","5","5","5","1ea7a2c2-9272-42ac-92bd-c20a3a429ffe"
"379","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Toilet nya bersih dan wangi","5","5","5","f1c8bda2-81f3-4a9d-862d-24aa28906225"
"380","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","5","Fasilitas lengkap,berfungsi","5","5","5","457341a0-734a-485c-918b-535f000bb0a2"
"381","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5",,"5","5","5","d430b1da-c267-4576-be6a-846e35cbc431"
"382","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5","petugas ramah dan sopan","5","5","5","23eaf6df-4558-4e32-9b5f-923160360429"
"383","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Pelayanan sangat memuaskan","5","5","5","579acfbd-e39d-4db2-b489-a7c84ca6c14f"
"384","API dan IAS","KNO","3","TOILET,A5 PRIA","KNO-TP-A05","5","Toilet nya lebih baik lagi kedepannya","5","5","5","5b2a7331-3a5a-4a7f-959c-f43543d2b32f"
"385","API dan IAS","KNO","3","TOILET,D3 PRIA","KNO-TP-D03","5","Saran saya petugasnya harus lebih baik lagi","4","5","5","7e86357d-5b3c-4412-9539-23c3a24df0af"
"386","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5",,"5","5","5","a3a0ea69-e489-4cd7-8a83-ed08a0329a68"
"387","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Pasilitas toilet harus mkin baik lagi","5","5","5","1904a631-4a91-4ef9-8756-6135b4ae1d8a"
"388","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5","toilet bersi wangi. petugas baik","5","5","5","9ca9d6bb-97d3-4096-a7d2-aa6e7cd314e5"
"389","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5",,"5","5","5","8c7a4f7c-257e-420f-a67a-ef82ab8dc9f5"
"390","API dan IAS","KNO","3","TOILET,D3 WANITA","KNO-TW-D03","5","Toilet beraih","5","5","5","63c08309-2f90-4a57-bcfa-3aee65608c5c"
"391","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Toiletnya bersih,harum, fasilitas semua berfungsi","5","5","5","77154359-34e3-474a-920a-203cfd64e949"
"392","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","toilet bersih","5","5","5","e35d9860-c0d7-44a4-aff0-7c157c687920"
"393","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","Toilet bersih, petugasnya juga ramah","5","5","5","1c99c7ef-d12d-4d57-a795-22ba60b70098"
